
time="2022-03-01T16:21:31+08:00" level=info msg="user is:[{1 test 0 }]" pkg=handler
time="2022-03-01T16:21:31+08:00" level=info msg="| 200 |     11.0743ms |       127.0.0.1 | GET | /test?name=test&uuid=1 |" pkg=middleware
time="2022-03-01T16:21:36+08:00" level=info msg="user is:[{2 test1 0 }]" pkg=handler
time="2022-03-01 18:32:55" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:32:55" level=info msg="| 400 |      1.4483ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:33:15" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:33:15" level=info msg="| 400 |      3.6993ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:33:35" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:33:35" level=info msg="| 400 |      6.7815ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:38:25" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:38:25" level=info msg="| 400 |      3.0847ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:39:08" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:39:08" level=info msg="| 400 |      2.7989ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:39:09" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:39:09" level=info msg="| 400 |      1.9644ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:41:29" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:41:29" level=info msg="| 400 |         180µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:41:30" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:41:30" level=info msg="| 400 |       636.7µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:42:56" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:42:56" level=info msg="| 400 |      1.0226ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:51:12" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:51:12" level=info msg="| 400 |      1.1202ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:52:50" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 18:52:50" level=info msg="| 200 |      1.6202ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 18:52:53" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 18:52:53" level=info msg="| 200 |            0s |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 18:54:36" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 18:54:36" level=info msg="| 200 |      9.2503ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 18:57:23" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 18:57:23" level=info msg="| 200 |       996.1µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 18:57:28" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:57:28" level=info msg="| 400 |      1.0789ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:58:22" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:58:22" level=info msg="| 400 |       771.9µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 18:59:35" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 18:59:35" level=info msg="| 400 |         1.9ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 19:00:24" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 19:00:24" level=info msg="| 200 |            0s |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 19:00:25" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 19:00:25" level=info msg="| 200 |      3.7948ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 19:00:26" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 19:00:26" level=info msg="| 200 |      1.4426ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 19:00:28" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 19:00:28" level=info msg="| 200 |      1.2887ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 19:01:10" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 19:01:10" level=info msg="| 400 |            0s |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 19:01:11" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 19:01:11" level=info msg="| 400 |       332.4µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 19:01:55" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 19:01:55" level=info msg="| 200 |      1.4398ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 19:03:07" level=error msg="failed to add error:[strconv.ParseInt: parsing \"ddd\": invalid syntax]" pkg=handler
time="2022-03-01 19:03:07" level=info msg="| 200 |       1.624ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=ddd |" pkg=middleware
time="2022-03-01 19:04:08" level=info msg="user is:[{2 true 1 }]" pkg=handler
time="2022-03-01 19:04:08" level=info msg="| 200 |       711.2µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=1 |" pkg=middleware
time="2022-03-01 19:04:20" level=error msg="failed to add error:[strconv.ParseInt: parsing \"qwe\": invalid syntax]" pkg=handler
time="2022-03-01 19:04:20" level=info msg="| 200 |      3.2089ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=qwe |" pkg=middleware
time="2022-03-01 19:04:47" level=error msg="failed to add error:[strconv.ParseInt: parsing \"qwe\": invalid syntax]" pkg=handler
time="2022-03-01 19:04:47" level=info msg="| 400 |      1.1563ms |       127.0.0.1 | GET | /test?name=true&uuid=2&age=qwe |" pkg=middleware
time="2022-03-01 19:04:48" level=error msg="failed to add error:[strconv.ParseInt: parsing \"qwe\": invalid syntax]" pkg=handler
time="2022-03-01 19:04:48" level=info msg="| 400 |            0s |       127.0.0.1 | GET | /test?name=true&uuid=2&age=qwe |" pkg=middleware
time="2022-03-01 19:04:49" level=error msg="failed to add error:[strconv.ParseInt: parsing \"qwe\": invalid syntax]" pkg=handler
time="2022-03-01 19:04:49" level=info msg="| 400 |            0s |       127.0.0.1 | GET | /test?name=true&uuid=2&age=qwe |" pkg=middleware
time="2022-03-01 19:04:49" level=error msg="failed to add error:[strconv.ParseInt: parsing \"qwe\": invalid syntax]" pkg=handler
time="2022-03-01 19:04:49" level=info msg="| 400 |            0s |       127.0.0.1 | GET | /test?name=true&uuid=2&age=qwe |" pkg=middleware
time="2022-03-01 19:05:20" level=error msg="failed to add error:[strconv.ParseInt: parsing \"qwe\": invalid syntax]" pkg=handler
time="2022-03-01 19:05:20" level=info msg="| 200 |       757.9µs |       127.0.0.1 | GET | /test?name=true&uuid=2&age=qwe |" pkg=middleware
